train_acc_hist,train_loss_hist,valid_acc_hist,valid_loss_hist
0,0.0,1.0,0.0,1.0
1,0.7234119772911072,0.1823922190816435,0.733020007610321,0.1792652885945681
2,0.7455781102180481,0.1696887502968644,0.7361218929290771,0.1778461034372218
3,0.7501406073570251,0.1669322829430106,0.7370136976242065,0.1774756158837593
4,0.7529212236404419,0.1652662853473433,0.7358256578445435,0.1781509873471669
5,0.754867434501648,0.1641395094073977,0.7365850210189819,0.1778666048965217
6,0.7563586235046387,0.1632847047006113,0.7373892664909363,0.1773251197632436
7,0.7574220299720764,0.1627148187867368,0.7378183007240295,0.1767649129529025
8,0.7583067417144775,0.1622201831028984,0.7373808026313782,0.1773974681578738
9,0.7572756409645081,0.1629126304448725,0.736924946308136,0.1778395296919272
10,0.7605382204055786,0.1609590043770303,0.7373733520507812,0.1770410445902277
11,0.761967658996582,0.1601066100886856,0.7372788190841675,0.1772761296734629
12,0.7626714110374451,0.1596663169813767,0.7372828125953674,0.1771305463896724
13,0.7632032036781311,0.1593332150305884,0.7371315360069275,0.1773465700632094
14,0.7634485363960266,0.159142035387104,0.736858069896698,0.1773315379540248
15,0.7616874575614929,0.1602537455051327,0.7354503273963928,0.1782119184421035
16,0.7618699073791504,0.1601183238428785,0.7360450029373169,0.1774846850084169
17,0.7617970705032349,0.160182316108149,0.7370587587356567,0.1773428408342526
18,0.7626359462738037,0.1596535035693251,0.7361581921577454,0.1773555361784002
19,0.7629972696304321,0.1594202729974634,0.7363383769989014,0.1773503768081912
20,0.763314425945282,0.1592445786868135,0.7367045879364014,0.177321323565562
21,0.7636277675628662,0.1590520652661327,0.73675537109375,0.1774103004808304
22,0.7638325095176697,0.1589360896104139,0.7364642024040222,0.177293859290726
23,0.7639483213424683,0.1588602578275419,0.7357853055000305,0.1776865371148283
24,0.7638993263244629,0.1588559088203265,0.7367801070213318,0.1774849971335369
25,0.7638571262359619,0.1589297337093488,0.7351280450820923,0.1778028353771927
26,0.7578415274620056,0.1625713536620108,0.7340710163116455,0.1783747177386523
27,0.7511126399040222,0.1666661195945158,0.7294387817382812,0.1810827163454641
28,0.74712735414505,0.1692085186017456,0.7286580204963684,0.1812417858202391
29,0.7446187734603882,0.1707173940491522,0.7271052598953247,0.181827399730913
30,0.7520862817764282,0.1659727966953646,0.7298111319541931,0.179736995830809
31,0.7567501068115234,0.1631252892191873,0.7309643030166626,0.179715840171319
32,0.7599623799324036,0.1611256181598729,0.7331047654151917,0.1784900151435343
33,0.7624890208244324,0.1595582296703843,0.7351411581039429,0.1778198747385304
34,0.7613896727561951,0.1602459313863437,0.7343624830245972,0.1778871091388327
35,0.7592886686325073,0.1615722142610865,0.7314215302467346,0.1793270665021965
36,0.7562506794929504,0.1634412280831413,0.7313716411590576,0.1793580092962589
37,0.7529918551445007,0.16548292973355655,0.7298132181167603,0.1801919532057486
38,0.7569097280502319,0.1630105101957728,0.7307146191596985,0.17969454959749992
39,0.7598862648010254,0.16117581355924449,0.7328574061393738,0.17845928711188097
40,0.7623476386070251,0.15966368124916297,0.7321510910987854,0.17908551977607118
41,0.7644716501235962,0.15838009001645875,0.7345947027206421,0.17773949779547035
42,0.7632316946983337,0.1591249524539305,0.7338621616363525,0.17818650330183305
43,0.7613804340362549,0.1602909611356089,0.7316568493843079,0.17865359236719808
44,0.7585035562515259,0.16205664773468406,0.7309846878051758,0.17981658399151207
45,0.7557117342948914,0.16379200378280315,0.7302427291870117,0.18075984802339284
46,0.7586106061935425,0.1619658585417001,0.7311239242553711,0.18013578400869304
47,0.7612994909286499,0.16034337931162088,0.7331657409667969,0.17830672342410953
48,0.7634297013282776,0.15898601143462165,0.7340468764305115,0.1778419185614346
49,0.7653797268867493,0.1578096028707265,0.7342708706855774,0.17794885498243773
50,0.7641907334327698,0.15853791244405954,0.7319273948669434,0.17908758397326566
51,0.762085497379303,0.15978880700428041,0.7329009175300598,0.17888794263865188
52,0.7594548463821411,0.16143716442794576,0.7309960722923279,0.17931032718473544
